A000083,A000153,A000160,B000014,B000070,B000138,B000227,B000418,B000429,B001142,B001183,C000016,C000200,C000298,C000357,C000414,C000425,C000454,C000478,C000576,C000963,C000973,D000035,D000095,D000182,D000264,D000347,D000404,E000110,F000003,F000253,F000298,F000398,G000023,G000110,H000029,H000163,H000169,H000258,H000377,H000409,H000458,H000654,J000231,J000237,K000028,K000034,K000121,K000353,L000327,L000393,M000085,M000200,M000228,M000300,M000351,M000397,M000429,M000543,M000567,M000854,M000954,N000040,P000217,P000232,P000271,P000279,P000382,P000383,P000545,P000547,Q000003,Q000006,R000073,R000450,S000182,S000262,S000382,S000422,S000741,S000922,S001062,T000026,T000116,T000256,T000274,T000324,T000412,T000420,V000091,W000164,W000279,W000312,W000667,date,isAmendment,requires,result,title
Yea,Not Voting,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Not Voting,,Nay,Nay,Nay,Yea,Not Voting,,Yea,Yea,,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Yea,,Not Voting,Yea,Nay,Not Voting,Yea,,Nay,Yea,Nay,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Nay,,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,1901-02-27,0,,unknown,hr14017
Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,,Yea,Yea,Yea,Nay,Not Voting,,Nay,Nay,,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,,Nay,Not Voting,Nay,Not Voting,Nay,,Not Voting,Yea,Yea,Nay,Nay,,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Yea,,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,1901-02-27,0,,unknown,hr14017
Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,Yea,Nay,Not Voting,,Nay,Nay,,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Nay,,Nay,Not Voting,Nay,Not Voting,Nay,,Not Voting,Not Voting,Yea,Not Voting,Nay,,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Not Voting,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Nay,Yea,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,Not Voting,Yea,Nay,Yea,,Yea,Yea,Not Voting,Nay,Not Voting,Nay,Not Voting,1901-02-27,0,,unknown,hr14017
Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,,Nay,Nay,Nay,Yea,Not Voting,,Yea,Yea,,Yea,Yea,Yea,Yea,Yea,Not Voting,Yea,,Yea,Yea,Yea,Not Voting,Yea,,Not Voting,Nay,Nay,Yea,Yea,,Not Voting,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Yea,Yea,Not Voting,Not Voting,,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Nay,Yea,Nay,,Nay,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,1901-02-27,0,,unknown,hr14017
Nay,Not Voting,Nay,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,,Yea,Not Voting,Yea,Nay,Yea,,Nay,Not Voting,,Nay,Nay,Nay,Nay,Not Voting,Nay,Nay,,Not Voting,Not Voting,Nay,Yea,Nay,,Yea,Yea,Yea,Yea,Nay,,Not Voting,Nay,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Nay,Nay,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Yea,,Nay,Nay,Nay,Nay,Not Voting,Nay,Not Voting,Yea,Yea,Nay,Yea,,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Nay,1901-03-01,0,,unknown,hr10302
Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Not Voting,Nay,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,,Not Voting,Yea,,Yea,Not Voting,Yea,Yea,Not Voting,Yea,Yea,,Yea,Yea,Nay,Not Voting,Yea,,Nay,Not Voting,Not Voting,Not Voting,Yea,,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Nay,Yea,Yea,Nay,Nay,Yea,Not Voting,Not Voting,Yea,,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Yea,,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Nay,1901-03-01,0,,unknown,hr14018
Not Voting,Yea,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Nay,,Nay,Nay,Nay,Nay,Nay,,Not Voting,Not Voting,,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,,Not Voting,Nay,Yea,Not Voting,Nay,,Not Voting,Nay,Nay,Yea,Nay,,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Nay,Yea,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,,Yea,Nay,Nay,Nay,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,1901-03-01,0,,unknown,hr14018
Not Voting,Yea,Nay,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Nay,Yea,Not Voting,Nay,,Yea,Nay,Yea,Nay,Yea,,Not Voting,Not Voting,,Nay,Nay,Nay,Not Voting,Not Voting,Nay,Nay,,Not Voting,Nay,Nay,Not Voting,Nay,,Not Voting,Nay,Yea,Nay,Nay,,Not Voting,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Not Voting,Nay,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,,Nay,Nay,Nay,Nay,Nay,Yea,Not Voting,Yea,Yea,Nay,Yea,,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Not Voting,1901-03-01,0,,unknown,hr14018
Yea,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Not Voting,Nay,Yea,,Nay,Yea,Not Voting,Yea,Yea,,Not Voting,Not Voting,,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,,Not Voting,Yea,Yea,Not Voting,Yea,,Nay,Yea,Nay,Yea,Yea,,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Not Voting,Nay,Nay,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,,Yea,Yea,Yea,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Not Voting,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,1901-03-01,0,,unknown,hr14018
Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Nay,Nay,Yea,Yea,,Nay,Nay,Nay,Yea,Nay,,Not Voting,Yea,,Yea,Yea,Yea,Yea,Yea,Yea,Yea,,Yea,Yea,Yea,Nay,Yea,,Not Voting,Nay,Nay,Yea,Yea,,Nay,Yea,Nay,Yea,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,,Yea,Yea,Not Voting,Yea,Not Voting,Nay,Nay,Nay,Nay,Not Voting,Nay,,Not Voting,Nay,Nay,Nay,Nay,Yea,Yea,1901-03-02,0,,unknown,
Nay,Yea,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Yea,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,,Yea,Not Voting,Yea,Nay,Not Voting,,Nay,Not Voting,,Nay,Nay,Nay,Nay,Nay,Nay,Nay,,Not Voting,Nay,Nay,Yea,Not Voting,,Yea,Not Voting,Yea,Nay,Nay,,Nay,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Not Voting,Nay,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Nay,Nay,Nay,Not Voting,Not Voting,,Nay,Not Voting,Not Voting,Nay,Nay,Nay,Yea,Yea,Yea,Nay,Yea,,Not Voting,Not Voting,Not Voting,Nay,Yea,Nay,Nay,1901-03-02,0,,unknown,hr10539
Nay,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Yea,Nay,Yea,Yea,Not Voting,Nay,,Yea,Yea,Yea,Yea,Not Voting,,Nay,Not Voting,,Yea,Nay,Yea,Yea,Yea,Nay,Nay,,Not Voting,Nay,Nay,Yea,Not Voting,,Yea,Not Voting,Yea,Not Voting,Nay,,Nay,Not Voting,Yea,Yea,Yea,Yea,Not Voting,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Yea,Not Voting,Not Voting,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Nay,Not Voting,Not Voting,,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Yea,Nay,Not Voting,1901-03-02,0,,unknown,hr10302
Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Yea,Not Voting,Yea,Nay,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,,Not Voting,Not Voting,Not Voting,Yea,Not Voting,,Not Voting,Not Voting,,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Nay,,Nay,Yea,Nay,Not Voting,Yea,,Nay,Yea,Nay,Nay,Nay,,Not Voting,Yea,Yea,Not Voting,Yea,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Yea,Not Voting,Yea,Nay,Yea,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Yea,Yea,Nay,,Not Voting,Nay,Yea,Yea,Nay,Yea,Yea,1901-03-02,0,,unknown,hr13705
Nay,Not Voting,Not Voting,Not Voting,Not Voting,Nay,Yea,Yea,Yea,Yea,Nay,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,,Yea,Not Voting,Not Voting,Nay,Not Voting,,Nay,Not Voting,,Yea,Not Voting,Nay,Yea,Nay,Nay,Nay,,Yea,Nay,Nay,Not Voting,Nay,,Not Voting,Not Voting,Yea,Nay,Nay,,Nay,Yea,Yea,Not Voting,Yea,Yea,Nay,Nay,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Not Voting,Nay,Yea,Not Voting,Not Voting,Not Voting,,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Yea,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Nay,Nay,Nay,1901-03-02,0,,unknown,hr9047
Yea,Not Voting,Yea,Nay,Not Voting,Yea,Not Voting,Nay,Yea,Yea,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,,Nay,Nay,Nay,Yea,Not Voting,,Not Voting,Yea,,Not Voting,Not Voting,Yea,Nay,Not Voting,Not Voting,Yea,,Not Voting,Yea,Not Voting,Nay,Yea,,Not Voting,Not Voting,Nay,Not Voting,Yea,,Not Voting,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Not Voting,Nay,Not Voting,Not Voting,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Nay,Nay,Not Voting,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,,Not Voting,Nay,Nay,Yea,Nay,Nay,Nay,Not Voting,Nay,Nay,Nay,,Not Voting,Nay,Nay,Nay,Nay,Nay,Not Voting,1901-03-02,0,,unknown,hr636
Yea,,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Not Voting,Yea,Yea,,Yea,Yea,Yea,Yea,Not Voting,,Not Voting,Nay,,Not Voting,Not Voting,Yea,Yea,Yea,Yea,Yea,,Not Voting,Yea,Not Voting,Yea,Nay,,Not Voting,Not Voting,Yea,Not Voting,Yea,,Not Voting,Not Voting,Yea,Nay,Not Voting,Nay,Yea,Not Voting,Nay,Not Voting,Yea,Not Voting,Yea,Not Voting,Not Voting,Yea,Not Voting,Yea,Nay,Not Voting,Not Voting,Not Voting,Not Voting,Not Voting,Nay,,Not Voting,,Not Voting,Yea,Not Voting,Not Voting,Yea,Nay,Nay,Not Voting,Yea,Yea,Not Voting,,Not Voting,Yea,Yea,Yea,Yea,Yea,Not Voting,1901-03-02,0,,unknown,hr9829
